revisionId,linesAdded,linesDeleted,numberOfFilesModified
695,488,90,12
696,478,90,12
697,488,90,12
698,478,90,12
699,3,38,6
700,3,38,6
701,2,15,1
702,2,15,1
703,2,15,1
704,2,15,1
705,2,15,1
706,48,32,2
707,48,32,2
708,46,5,2
709,46,5,2
710,14,8,4
711,14,8,4
712,14,8,4
713,302,25,9
714,324,39,9
715,166,12,7
716,324,39,9
717,324,39,9
718,309,25,9
719,322,38,9
720,197,11,7
721,324,39,9
722,324,39,9
723,0,4,2
724,0,4,2
725,12,4,4
726,12,4,4
727,5,6,4
728,4,5,3
729,48,156,31
730,48,150,30
731,48,150,30
732,30,108,24
733,38,141,22
734,38,141,22
735,38,141,22
736,1,20,1
737,1,20,1
738,0,2,1
739,0,2,1
740,0,4,4
741,0,4,4
742,0,2,1
743,0,2,1
744,0,48,2
745,0,48,2
746,30,18,1
747,30,18,1
748,2,2,1
749,2,2,1
750,26,29,2
751,26,29,2
752,31,38,3
753,31,38,3
754,31,38,3
755,14,15,1
756,14,15,1
757,28,27,4
758,28,27,4
759,28,27,4
760,28,27,4
761,13,1,1
762,13,1,1
763,23,2,2
764,23,2,2
765,181,64,1
766,181,64,1
767,111,30,1
768,111,30,1
769,111,30,1
770,19,17,5
771,19,17,5
772,1,1,1
773,1,1,1
774,83,34,1
775,83,34,1
776,9,18,4
777,9,18,4
778,5,0,1
779,5,0,1
780,26,1,2
781,26,1,2
782,142,97,5
783,142,97,5
784,163,97,5
785,163,97,5
786,0,13,1
787,0,13,1
788,81,13,5
789,66,13,5
790,26,2,2
791,26,2,2
792,26,2,2
793,49,184,2
794,49,184,2
795,16,0,4
796,16,0,4
797,1,1,1
798,1,1,1
799,114,365,51
800,114,365,51
801,25,118,20
802,25,118,20
803,138,22,5
804,138,22,5
805,138,22,5
806,29,27,5
807,29,27,5
808,46,61,33
809,42,59,33
810,46,61,33
811,46,61,33
812,77,88,7
813,77,88,7
814,77,88,7
815,77,88,7
816,4,8,1
817,4,8,1
818,120,3,1
819,119,2,1
820,120,3,1
821,120,3,1
822,6,631,2
823,6,631,2
824,6,631,2
825,16,3,2
826,16,3,2
827,23,6,1
828,23,6,1
829,5,0,1
830,5,0,1
831,811,901,3
832,811,901,3
833,0,30,2
834,0,30,2
835,87,95,9
836,87,95,9
837,87,95,9
838,51,7,2
839,51,7,2
840,51,7,2
841,27,0,4
842,27,0,4
843,7,7,5
844,7,7,5
845,7,7,5
846,24,16,2
847,24,16,2
848,47,138,18
849,47,138,18
850,513,755,118
851,513,755,118
852,50,112,23
853,50,112,23
854,63,6,12
855,63,6,12
856,33,221,30
857,33,221,30
858,36,127,22
859,36,127,22
860,40,45,18
861,40,45,18
862,26,111,12
863,26,111,12
864,12,76,14
865,12,76,14
866,12,9,1
867,12,9,1
868,25,10,1
869,27,10,1
870,11,10,2
871,28,10,1
872,27,10,1
873,28,10,1
874,54,72,25
875,54,72,25
876,13,106,13
877,13,106,13
878,89,79,6
879,89,79,6
880,36,41,17
881,40,45,19
882,52,56,25
883,54,58,26
884,52,56,25
885,37,38,14
886,37,38,14
887,2,3,1
888,2,3,1
889,1,0,1
890,1,0,1
891,3,1,1
892,3,1,1
893,1,1,1
894,1,1,1
895,1489,2726,142
896,1489,2726,142
897,1489,2726,142
898,1489,2726,142
899,1489,2726,142
900,1489,2726,142
901,1489,2726,142
902,1489,2726,142
